Id_Customer,Y,Customer_Type,BirthDate,Customer_Open_Date,P_Client,Educational_Level,Marital_Status,Number_Of_Dependant,Years_At_Residence,Years_At_Business,Prod_Sub_Category,Prod_Decision_Date,Source,Type_Of_Residence,Nb_Of_Products,Prod_Closed_Date,Prod_Category,Net_Annual_Income
7440,0,Non Existing Client,07/08/1977,13/02/2012,NP_Client,University,Married,3.0,1,1.0,C,14/02/2012,Sales,Owned,1,0,B,36.0
573,0,Existing Client,13/06/1974,04/02/2009,P_Client,University,Married,0.0,12,2.0,C,30/06/2011,Sales,Parents,1,0,G,18.0
9194,0,Non Existing Client,07/11/1973,03/04/2012,NP_Client,University,Married,2.0,10,1.0,C,04/04/2012,Sales,Owned,1,0,B,36.0
3016,1,Existing Client,08/07/1982,25/08/2011,NP_Client,University,Married,3.0,3,1.0,C,07/09/2011,Sales,New rent,1,31/12/2012,L,36.0
6524,0,Non Existing Client,18/08/1953,10/01/2012,NP_Client,University,Married,2.0,1,1.0,C,11/01/2012,Sales,Owned,1,0,D,36.0
3858,0,Existing Client,04/03/1983,15/09/2011,NP_Client,University,Married,0.0,28,2.0,C,04/10/2011,Sales,Old rent,1,0,C,60.0
2189,0,Non Existing Client,25/09/1979,17/07/2011,NP_Client,University,Married,0.0,10,1.0,C,28/07/2011,Sales,Owned,1,0,B,36.0
9338,0,Non Existing Client,04/10/1953,11/04/2012,NP_Client,University,Married,0.0,15,1.0,C,12/04/2012,Sales,Owned,1,16/04/2013,B,36.0
9578,0,Existing Client,01/03/1974,20/02/2001,NP_Client,University,Single,0.0,0,3.0,P,02/04/2012,Branch,Owned,1,0,E,500.0
173,1,Existing Client,13/02/1963,27/04/2011,NP_Client,University,Married,4.0,35,2.0,C,03/05/2011,Sales,Owned,1,18/11/2012,L,876.0
6439,0,Non Existing Client,27/04/1987,12/12/2011,NP_Client,University,Single,0.0,10,3.0,C,09/01/2012,Sales,Owned,1,0,B,36.0
3921,0,Non Existing Client,21/09/1959,18/09/2011,NP_Client,University,Married,0.0,10,2.0,C,02/10/2011,Sales,Owned,2,0,B,18.0
6961,0,Existing Client,26/03/1981,30/04/2007,P_Client,University,Single,0.0,2,4.0,C,12/02/2012,Branch,Owned,1,0,G,2982.0
9242,0,Non Existing Client,18/07/1987,04/04/2012,NP_Client,University,Married,0.0,15,1.0,C,05/04/2012,Sales,Owned,1,0,B,36.0
5086,0,Non Existing Client,01/01/1974,13/11/2011,NP_Client,University,Married,0.0,1,1.0,G,17/11/2011,Sales,Owned,1,0,C,36.0
5841,0,Non Existing Client,11/06/1969,15/12/2011,NP_Client,University,Married,0.0,10,1.0,C,20/12/2011,Sales,Owned,1,0,B,36.0
6825,0,Non Existing Client,02/03/1974,15/01/2012,NP_Client,University,Married,0.0,15,1.0,C,24/01/2012,Sales,Owned,1,0,B,30.0
141,0,Existing Client,23/09/1987,25/11/2010,NP_Client,University,Single,0.0,10,1.0,C,10/05/2011,Sales,Owned,1,0,B,18.0
6582,1,Non Existing Client,01/07/1982,12/01/2012,NP_Client,University,Married,2.0,1,1.0,C,15/01/2012,Sales,Owned,1,30/09/2012,B,36.0
882,0,Non Existing Client,21/03/1971,12/06/2011,NP_Client,University,Married,3.0,8,2.0,C,15/06/2011,Sales,Owned,1,0,D,18.0
6225,0,Non Existing Client,01/08/1949,08/12/2011,NP_Client,University,Married,0.0,15,1.0,C,29/12/2011,Sales,Owned,1,0,B,30.0
2378,0,Non Existing Client,30/05/1987,20/07/2011,NP_Client,University,Married,0.0,12,1.0,C,09/08/2011,Sales,Owned,1,0,K,31848.0
9350,0,Non Existing Client,01/01/1985,27/03/2012,NP_Client,University,Single,0.0,27,6.0,C,11/04/2012,Branch,Owned,1,02/06/2013,K,264.0
4537,0,Existing Client,29/11/1973,18/04/2007,P_Client,University,Married,3.0,10,3.0,C,29/10/2011,Sales,Owned,1,0,G,24288.0
1756,0,Non Existing Client,13/02/1961,20/07/2011,NP_Client,University,Married,2.0,2,1.0,C,24/07/2011,Sales,Owned,1,0,B,36.0
7670,0,Non Existing Client,05/02/1948,22/02/2012,NP_Client,University,Married,0.0,1,1.0,C,23/02/2012,Sales,Owned,1,0,B,36.0
1051,0,Non Existing Client,21/08/1972,22/06/2011,NP_Client,University,Married,0.0,1,1.0,C,28/06/2011,Sales,Owned,1,0,D,20.0
2234,0,Non Existing Client,27/11/1989,24/07/2011,NP_Client,University,Single,0.0,4,4.0,C,28/07/2011,Sales,Owned,1,0,B,18.0
620,0,Existing Client,24/11/1965,10/01/2010,NP_Client,University,Married,2.0,10,2.0,C,29/06/2011,Sales,Owned,1,0,D,18.0
8076,0,Non Existing Client,26/12/1953,14/02/2012,NP_Client,University,Married,0.0,22,2.0,C,15/02/2012,Sales,Owned,1,0,B,18.0
7748,0,Existing Client,06/05/1965,15/11/1983,NP_Client,University,Married,3.0,18,16.0,P,22/02/2012,Branch,Owned,1,0,E,300.0
1038,0,Non Existing Client,11/07/1958,21/06/2011,NP_Client,University,Married,2.0,16,1.0,C,22/06/2011,Sales,Owned,1,0,B,20.0
9435,0,Non Existing Client,02/11/1976,19/04/2012,NP_Client,University,Married,3.0,1,1.0,C,22/04/2012,Sales,Owned,1,0,B,36.0
375,0,Non Existing Client,18/02/1983,15/05/2011,NP_Client,University,Married,0.0,5,1.0,C,18/05/2011,Sales,New rent,1,0,B,18.0
5751,0,Non Existing Client,20/03/1963,12/12/2011,NP_Client,University,Married,1.0,50,50.0,C,14/12/2011,Sales,Owned,1,0,B,36.0
2479,0,Existing Client,10/11/1983,16/08/2011,NP_Client,Master/PhD,Married,1.0,27,2.0,C,25/08/2011,Branch,Parents,1,0,C,120.0
1245,0,Existing Client,21/02/1970,26/03/2009,NP_Client,University,Married,3.0,5,5.0,C,26/07/2011,Sales,Owned,1,0,B,18.0
2821,0,Existing Client,10/10/1980,22/02/2009,NP_Client,University,Married,0.0,1,1.0,C,15/09/2011,Branch,Owned,1,29/07/2012,B,36.0
1473,0,Non Existing Client,19/12/1967,10/07/2011,NP_Client,University,Married,0.0,10,1.0,C,11/07/2011,Sales,Owned,2,0,D,36.0
5999,0,Existing Client,15/02/1986,05/03/2008,NP_Client,University,Single,1.0,20,20.0,G,03/01/2012,Branch,Owned,1,0,B,24.0
3253,0,Non Existing Client,02/06/1948,14/09/2011,NP_Client,University,Married,3.0,38,1.0,C,15/09/2011,Sales,Old rent,2,20/01/2013,D,20.0
5773,0,Non Existing Client,09/09/1986,14/12/2011,NP_Client,University,Single,0.0,6,10.0,C,15/12/2011,Sales,Owned,1,0,B,36.0
7845,0,Existing Client,29/05/1965,30/07/2007,NP_Client,University,Married,3.0,1,1.0,C,12/03/2012,Sales,Owned,1,0,B,36.0
4438,0,Non Existing Client,18/06/1967,25/10/2011,NP_Client,University,Married,0.0,10,1.0,C,27/10/2011,Sales,Owned,1,0,B,36.0
5181,0,Existing Client,01/03/1985,20/11/2008,P_Client,University,Married,1.0,3,2.0,C,05/12/2011,Branch,Owned,1,0,G,27312.0
3517,0,Non Existing Client,05/02/1972,25/09/2011,NP_Client,University,Married,0.0,15,1.0,G,27/09/2011,Sales,Owned,1,0,C,100.0
8979,0,Existing Client,04/11/1956,20/07/2011,NP_Client,University,Married,3.0,10,20.0,G,08/04/2012,Branch,Owned,2,14/03/2013,C,120.0
3853,1,Existing Client,22/06/1975,13/09/2011,NP_Client,University,Married,2.0,1,1.0,C,16/10/2011,Sales,Owned,1,28/06/2012,L,42.0
3545,0,Existing Client,26/08/1948,09/01/2003,NP_Client,University,Married,0.0,15,1.0,G,26/09/2011,Sales,Owned,1,0,C,100.0
8284,0,Non Existing Client,15/06/1965,05/03/2012,NP_Client,University,Married,2.0,1,1.0,C,06/03/2012,Sales,Owned,1,0,B,36.0
2370,0,Non Existing Client,23/07/1966,31/07/2011,NP_Client,Master/PhD,Married,0.0,15,1.0,C,09/08/2011,Sales,Old rent,1,0,C,20.0
7842,0,Existing Client,19/10/1983,17/07/2007,P_Client,University,Single,0.0,10,3.0,C,29/02/2012,Sales,Owned,1,0,B,36.0
688,0,Existing Client,21/01/1970,27/04/2011,NP_Client,University,Married,3.0,12,1.0,C,22/06/2011,Sales,Owned,1,0,B,36.0
4403,0,Non Existing Client,25/06/1956,24/10/2011,NP_Client,University,Married,0.0,11,1.0,C,25/10/2011,Sales,Owned,1,0,B,36.0
